Name,Rating,Courses,Fees Range,Package,City
"All India Institute of Medical Sciences, Delhi",4.5,142 Courses,₹400 - 6.1 K,₹0.9 - 20 LPA,Delhi
NIT Delhi - National Institute of Technology,3.7,16 Courses,₹2.1 L - 5 L,₹14.75 - 15 LPA,Delhi
"Faculty of Engineering, Dayalbagh Educational Institute",4.0,24 Courses,₹11.3 K - 50.7 K,₹2.24 - 5 LPA,Agra
Ramaiah Institute of Technology,4.2,58 Courses,₹1.2 L - 8.9 L,₹2.16 - 6.15 LPA,Bangalore
Kalasalingam Academy of Research and Education,3.9,67 Courses,₹80 K - 6 L,₹4.25 - 6.84 LPA,Virudhunagar
"Centurion University of Technology and Management, Bhubaneswar Campus",3.9,87 Courses,₹28.5 K - 6 L,₹3 - 3.6 LPA,Bhubaneswar
NIT Patna - National Institute of Technology,3.9,58 Courses,₹45 K - 6.3 L,₹6 - 10 LPA,Patna
IIT Patna - Indian Institute of Technology,4.3,80 Courses,₹40 K - 8 L,₹11.5 - 20 LPA,Patna
Alagappa University,4.2,156 Courses,₹2 K - 2.6 L,₹1.44 - 2.46 LPA,Karaikudi
MGU Kerala - Mahatma Gandhi University,4.1,94 Courses,₹1.9 K - 1.4 L,₹0.96 - 5 LPA,Kottayam
"Christian Medical College, Vellore",4.6,143 Courses,₹300 - 2.7 L,₹1.55 - 10.51 LPA,Vellore
University of Mysore,3.7,206 Courses,₹4.8 K - 2.4 L,₹1.25 - 3.75 LPA,Mysore
SR University,4.1,33 Courses,₹1.1 L - 9 L,₹3.6 - 4.5 LPA,Warangal
University of Madras,3.9,203 Courses,₹500 - 4 L,₹3.6 - 4.2 LPA,Chennai
JSS Academy of Higher Education and Research,4.0,22 Courses,₹87.1 K - 3 L,₹9.54 - 10.98 LPA,Mysore
Rashtrasant Tukadoji Maharaj Nagpur University,3.6,273 Courses,₹2 K - 1.8 L,₹3 - 9.6 LPA,Nagpur
Central University of Kashmir,3.7,44 Courses,₹1.6 K - 37.6 K,₹2.4 - 8 LPA,Srinagar
Guwahati University - GU,3.9,131 Courses,₹2.4 K - 2.3 L,₹3.2 - 8.4 LPA,Guwahati
"Institute of Technology, Nirma University",4.2,26 Courses,₹4.8 L - 7.6 L,₹6.17 - 9.59 LPA,Ahmedabad
"Babasaheb Bhimrao Ambedkar University (BBAU), Lucknow",3.5,77 Courses,₹2 K - 6 L,₹3.44 - 8 LPA,Lucknow
"Cochin University of Science and Technology, Kochi",4.1,90 Courses,₹2.3 K - 8.6 L,₹2.5 - 5.73 LPA,Kochi
Sathyabama Institute of Science and Technology,3.8,97 Courses,₹18 K - 12 L,₹3.5 - 10 LPA,Chennai
IIT Bhubaneswar - Indian Institute of Technology,4.2,43 Courses,₹20 K - 8.1 L,₹6.25 - 22.14 LPA,Bhubaneswar
"Srinivasa Ramanujan Center, SASTRA",4.2,36 Courses,₹80 K - 6.2 L,₹3.3 - 7.5 LPA,Thanjavur
Datta Meghe Institute of Higher Education and Research (Deemed to be University),4.4,161 Courses,₹20 K - 1.3 Cr,₹4.68 - 21 LPA,Wardha
R.V. College of Engineering,4.2,34 Courses,₹1.3 L - 44 L,₹6 - 8.5 LPA,Bangalore
"Faculty of Engineering and Technology, Jain Deemed-to-be University, Bangalore",4.1,54 Courses,₹3.5 L - 19.6 L,₹5.15 - 7.78 LPA,Bangalore
"Mukesh Patel School of Technology Management and Engineering, NMIMS, Mumbai",4.0,21 Courses,₹4.5 L - 25.1 L,₹6.57 - 8.5 LPA,Mumbai
PSGCT Coimbatore,4.4,67 Courses,₹35 K - 2.5 L,₹3.17 - 10.05 LPA,Coimbatore
National Institute of Foundry and Forge Technology,4.2,12 Courses,₹59.3 K - 3.4 L,₹4.25 - 5.05 LPA,Ranchi
IIST - Indian Institute of Space Science and Technology,4.1,26 Courses,₹1.4 L - 6.3 L,₹8.9 - 10.64 LPA,Thiruvananthapuram
Sardar Patel Institute of Technology,4.2,14 Courses,₹2.9 L - 6.1 L,₹7.5 - 8.5 LPA,Mumbai
University of Mumbai [MU],3.8,252 Courses,₹300 - 2 L,₹4 - 15 LPA,Mumbai
"Sri Jayachamarajendra College of Engineering (SJCE Mysore), JSS STU",4.3,28 Courses,₹45 K - 3.6 L,₹6.5 - 7.2 LPA,Mysore
MIT-WPU,4.0,133 Courses,₹60 K - 17.2 L,₹2.65 - 7.5 LPA,Pune
Jamia Hamdard,3.7,103 Courses,₹30 K - 13.8 L,₹2.27 - 8 LPA,Delhi
Graphic Era Deemed to be University,4.1,107 Courses,₹41 K - 14.8 L,₹4.75 - 8 LPA,Dehradun
Guru Nanak Dev University,3.8,181 Courses,₹5.2 K - 10.3 L,₹3.5 - 7.7 LPA,Amritsar
"Sardar Vallabhbhai National Institute of Technology, Surat",4.0,56 Courses,₹45 K - 5 L,₹6.5 - 8.01 LPA,Surat
Sri Ramachandra Institute of Higher Education and Research,4.5,155 Courses,₹15 K - 1.1 Cr,₹2.5 - 19.5 LPA,Chennai
Mahindra University,4.3,38 Courses,₹1.7 L - 24 L,₹6.5 LPA,Hyderabad
NIT Raipur - National Institute of Technology,3.8,27 Courses,₹30 K - 6.3 L,₹4.8 - 9 LPA,Raipur
Government College of Technology (GCT),4.2,24 Courses,₹31.4 K - 2 L,₹6 LPA,Coimbatore
UPES,4.4,52 Courses,₹25 K - 22.9 L,₹3.6 - 6.5 LPA,Dehradun
Sri Sairam Engineering College,4.2,22 Courses,₹35 K - 2.5 L,₹3.92 - 4.5 LPA,Chennai
Visvesvaraya Technological University,4.3,125 Courses,₹10.4 K - 1.4 L,₹3.65 - 3.73 LPA,Belgaum
"Silicon Institute of Technology, Bhubaneswar",4.0,16 Courses,₹2.7 L - 6 L,₹3.76 - 4.8 LPA,Bhubaneswar
Gujarat University,4.1,303 Courses,₹2.3 K - 7.2 L,₹4.81 - 9.76 LPA,Ahmedabad
Dr. D. Y. Patil Institute Of Technology,4.3,21 Courses,₹1.1 L - 4.1 L,₹5.4 - 6.3 LPA,Pune
PAU - Punjab Agricultural University,3.8,76 Courses,₹34.2 K - 6.5 L,₹3.5 LPA,Ludhiana
Madurai Kamaraj University - MKU,3.7,46 Courses,₹8.4 K - 80 K,₹2.15 - 2.88 LPA,Madurai
IIT Tirupati - Indian Institute of Technology,4.3,32 Courses,₹10 K - 8 L,₹8.05 - 12.1 LPA,Chittoor
Rajalakshmi Engineering College,4.4,31 Courses,₹35 K - 2 L,₹4.2 - 4.56 LPA,Chennai
Bharathidasan University,3.8,132 Courses,₹1 K - 2.2 L,₹1.54 - 2.4 LPA,Tiruchirappalli
Banasthali Vidyapith,4.2,121 Courses,₹21 K - 7.9 L,₹2.5 - 7.5 LPA,Jaipur
IIM Ahmedabad - Indian Institute of Management,4.6,9 Courses,₹1.6 L - 31.5 L,₹30 - 36.26 LPA,Ahmedabad
"Kasturba Medical College, Manipal, Manipal Academy of Higher Education",4.7,66 Courses,₹1.5 L - 79.5 L,₹8.88 - 15.6 LPA,Manipal
MANIT - Maulana Azad National Institute of Technology,4.0,55 Courses,₹60 K - 6.3 L,₹3.8 - 11 LPA,Bhopal
University of Jammu,3.3,16 Courses,₹3.2 K - 56 K,₹5.6 LPA,Jammu
Bangalore University,4.1,124 Courses,₹2.1 K - 1.6 L,₹3.5 - 6 LPA,Bangalore
"Kasturba Medical College, Mangalore, Manipal Academy of Higher Education",4.5,48 Courses,₹1.7 L - 63.2 L,₹6.8 - 15.6 LPA,Karnataka - Other
Periyar University,4.3,113 Courses,₹2.8 K - 71 K,₹3 - 3.5 LPA,Salem
Shiv Nadar University (SNU),4.4,33 Courses,₹1.4 L - 16 L,₹7.1 - 11.77 LPA,Greater Noida
IIM Bangalore - Indian Institute of Management,4.8,86 Courses,₹65 K - 24.5 L,₹30 - 31.5 LPA,Bangalore
BMS College of Engineering,4.2,53 Courses,₹64.7 K - 16 L,₹6.5 - 8.24 LPA,Bangalore
Sharda School of Engineering and Technology,3.8,74 Courses,₹1 L - 9.2 L,₹3.35 - 3.84 LPA,Greater Noida
Bharath Institute of Higher Education and Research (BIHER),4.1,116 Courses,₹90 K - 20 L,₹4 - 20 LPA,Chennai
"Postgraduate Institute of Medical Education and Research, Chandigarh",4.4,119 Courses,₹1 K - 19.5 L,₹7.53 - 17 LPA,Chandigarh
Christ University,4.3,167 Courses,₹30 K - 11.9 L,₹2.42 - 7.97 LPA,Bangalore
IIT Jammu - Indian Institute of Technology,4.3,28 Courses,₹60 K - 8 L,₹16 - 18 LPA,Jammu
NIT Meghalaya - National Institute of Technology,3.8,16 Courses,₹69.5 K - 5 L,₹8.16 - 9.45 LPA,Shillong
DIT University,3.8,102 Courses,₹1.5 L - 12.3 L,₹4 - 4.5 LPA,Dehradun
"North Eastern Hill University, Shillong",3.7,105 Courses,₹1.7 K - 1.6 L,₹3 - 3.8 LPA,Shillong
NIT Srinagar - National Institute of Technology,3.8,38 Courses,₹45 K - 10 L,₹6 - 8.33 LPA,Srinagar
IIT Palakkad - Indian Institute of Technology,3.8,14 Courses,₹6 K - 8 L,₹9 - 12 LPA,Palakkad
Pondicherry University,4.1,117 Courses,₹2.9 K - 2.4 L,₹2.5 - 4.3 LPA,Pondicherry
Indian Institute of Management Mumbai,4.5,5 Courses,₹6.4 L - 12.5 L,₹21 - 34.1 LPA,Mumbai
University of Calicut,3.8,136 Courses,₹950 - 2.2 L,₹2.42 - 3.96 LPA,Calicut
Rabindranath Tagore University,3.6,102 Courses,₹12 K - 4 L,₹3.2 - 5.04 LPA,Bhopal
St. John’s National Academy of Health Sciences,4.3,72 Courses,₹70.4 K - 36.5 L,₹2.4 - 12 LPA,Bangalore
"Pune Institute of Computer Technology, Society for Computer Technology and Research",4.1,17 Courses,₹1.9 L - 3.3 L,₹6 - 7 LPA,Pune
Tamil Nadu Agricultural University,4.1,38 Courses,₹20 K - 3.3 L,₹3.62 LPA,Coimbatore
JIPMER Puducherry - Jawaharlal Institute of Postgraduate Medical Education and Research,4.7,133 Courses,₹130 - 46.6 K,₹6 - 120 LPA,Pondicherry
Sri Venkateswara University,4.2,54 Courses,₹12 K - 23.5 K,₹4.5 - 6 LPA,Tirupati
National Engineering College,4.2,19 Courses,₹35 K - 2 L,₹3.2 - 3.6 LPA,Tamil Nadu - Other
Shoolini University,4.3,199 Courses,₹50 K - 9.4 L,₹2.1 - 4.8 LPA,Solan
SKCET - Sri Krishna College of Engineering and Technology,4.3,28 Courses,₹35 K - 2.5 L,₹4.86 - 5.5 LPA,Coimbatore
KGMU - King George's Medical University,4.5,82 Courses,₹46.4 K - 2.5 L,₹5 - 16 LPA,Lucknow
IIM Calcutta - Indian Institute of Management,4.7,46 Courses,₹2.5 L - 31 L,₹20 - 31 LPA,Kolkata
"Jain Deemed-to-be University, Bangalore",3.8,60 Courses,– / –,₹5.15 - 7.78 LPA,Bangalore
NIT Agartala - National Institute of Technology,4.1,44 Courses,₹25.6 K - 5 L,₹4.2 - 7 LPA,Agartala
Dayananda Sagar College Of Engineering,4.1,44 Courses,₹1.2 L - 17 L,₹4.1 - 6.7 LPA,Bangalore
Jaypee Institute of Information Technology,3.8,37 Courses,₹1.6 L - 13.5 L,₹5.25 - 7.6 LPA,Noida
IIIT Allahabad - Indian Institute of Information Technology,4.4,36 Courses,₹2.9 L - 1.1 Cr,₹11.5 - 28 LPA,Allahabad
"Madras Medical College, Chennai",4.2,80 Courses,₹47 K - 1.5 L,₹3.6 - 10.2 LPA,Chennai
"Saveetha Engineering College, Chennai",4.2,38 Courses,₹35 K - 2 L,₹3 - 4.5 LPA,Chennai
Heritage Institute of Technology,4.1,30 Courses,₹2 L - 3.9 L,₹3.8 - 4.2 LPA,Kolkata
XLRI Xavier School of Management,4.6,62 Courses,₹27 K - 31.2 L,₹2.3 - 30 LPA,Jamshedpur
IIM Kozhikode - Indian Institute of Management,4.4,33 Courses,₹3.5 L - 20.5 L,₹25 - 26.5 LPA,Kozhikode
"Govind Ballabh Pant University of Agriculture and Technology, Pantnagar",3.7,93 Courses,₹60 K - 2.4 L,₹4.55 - 5.5 LPA,Uttarakhand - Other
"Yeshwantrao Chavan College of Engineering, Nagar Yuwak Shikshan Sanstha",3.8,35 Courses,₹2.8 L - 6.6 L,₹4 - 4.5 LPA,Nagpur
Rajiv Gandhi Institute of Petroleum Technology,4.3,18 Courses,₹40 K - 13 L,₹5.1 - 7 LPA,Amethi
IIM Lucknow - Indian Institute of Management,4.5,59 Courses,₹93.8 K - 12.6 L,₹29 LPA,Lucknow
"Lakshmi Narain College of Technology, Bhopal",4.0,23 Courses,₹1.2 L - 5.3 L,₹3 - 4.7 LPA,Bhopal
National Institute of Mental Health and Neurosciences,4.2,66 Courses,₹9.5 K - 1.6 L,5.0,Bangalore
"Vignan's Foundation for Science, Technology and Research",4.1,44 Courses,₹1.2 L - 10.4 L,₹3.26 - 7.05 LPA,Guntur
"Symbiosis Institute of Business Management, Symbiosis International, Pune",4.4,8 Courses,₹4.2 K - 22.2 L,₹20.8 LPA,Pune
NIT - Narula Institute of Technology,4.2,38 Courses,₹54 K - 4.1 L,₹5 - 6.3 LPA,Kolkata
IIM Indore - Indian Institute of Management,4.4,52 Courses,₹56 K - 35 L,₹23.6 - 24.09 LPA,Indore
"Sri Sathya Sai Institute of Higher Learning, Anantapur",4.4,21 Courses,₹1.2 L,3.5,Anantapur
Mizoram University,3.5,38 Courses,₹6 K - 1.1 L,₹1.8 - 5.25 LPA,Aizawl
"Maharishi Markandeshwar University, Mullana",4.1,153 Courses,₹30 K - 1.2 Cr,₹2.91 - 14.4 LPA,Ambala
Professor Jayashankar Telangana State Agricultural University,4.2,21 Courses,₹35.2 K - 1.1 L,3.8,Hyderabad
"Mahatma Gandhi Medical College and Research Institute, Sri Balaji Vidyapeeth",4.5,65 Courses,₹20 K - 1.1 Cr,₹1.02 - 14.28 LPA,Pondicherry
IIT Bhilai - Indian Institute of Technology,4.1,21 Courses,₹25 K - 9 L,₹9.5 - 14 LPA,Bhilai
Dwarkadas J. Sanghvi College of Engineering,4.1,18 Courses,₹2.4 L - 7.2 L,₹5.5 - 6 LPA,Mumbai
Maharaja Agrasen Institute of Technology,3.7,16 Courses,₹3.3 L - 5.5 L,₹4 - 8.15 LPA,Delhi
Anurag University,4.2,41 Courses,₹1 L - 10.4 L,₹3.2 - 4.4 LPA,Hyderabad
Sanjay Gandhi Postgraduate Institute of Medical Sciences,4.0,52 Courses,₹27 K - 2.2 L,₹9 - 26.5 LPA,Lucknow
AIIMS Rishikesh - All India Institute of Medical Sciences,4.9,164 Courses,₹650 - 2 L,₹12 - 21.6 LPA,Rishikesh
NIT Goa - National Institute of Technology,3.7,10 Courses,₹75 K - 5 L,₹8 LPA,Ponda
Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology,4.0,80 Courses,₹20 K - 10 L,₹2.5 - 5 LPA,Chennai
BMS Institute of Technology and Management,4.1,16 Courses,₹1.5 L - 26 L,₹3.36 - 4.05 LPA,Bangalore
Avinashilingam Institute for Home Science and Higher Education for Women,4.1,88 Courses,₹3 K - 3.3 L,₹2.57 - 5.5 LPA,Coimbatore
"NMIMS School of Business Management, Mumbai",4.2,11 Courses,₹50 K - 24 L,₹19.2 LPA,Mumbai
AIIMS Jodhpur - All India Institute of Medical Sciences,4.6,60 Courses,₹2.1 K - 24.1 K,₹4.5 - 13.21 LPA,Jodhpur
GMR Institute of Technology - GMRIT,4.0,25 Courses,₹90 K - 3 L,₹3.6 - 4.6 LPA,Andhra Pradesh - Other
"SRM Dental College, Ramapuram Campus, Chennai",4.8,11 Courses,₹10.5 L - 39 L,₹4.2 - 5.2 LPA,Chennai
Walchand College of Engineering,4.2,22 Courses,₹18 K - 3.4 L,₹4.5 - 6 LPA,Sangli
Vardhman Mahavir Medical College,4.4,39 Courses,₹30 K - 1.6 L,₹1 - 1.05 LPA,Delhi
Noida Institute of Engineering and Technology (NIET),4.1,44 Courses,₹90 K - 5.9 L,₹4.04 - 4.52 LPA,Greater Noida
IIM Rohtak - Indian Institute of Management,4.3,23 Courses,₹45 K - 33.9 L,₹15 - 17.5 LPA,Rohtak
Dr. Babasaheb Ambedkar Marathwada University,4.1,231 Courses,₹239 - 1.6 L,₹1.1 - 3 LPA,Aurangabad
Bannari Amman Institute of Technology,4.3,38 Courses,₹35 K - 2 L,4.3,Erode
