Name,Rating,Courses,Fees Range,Package,City
"Changu Kana Thakur college of Arts, Commerce and Science",3.2,28 Courses,₹17 K - 84.5 K,2.5,Raigad
Faculty of Pharmacy - Naraina Vidya Peeth Group of Institutions,NULL,7 Courses,₹1 L - 2.8 L,– / –,Kanpur
Aryan Institute of Engineering and Technology,4.2,8 Courses,₹1.2 L - 2.5 L,4.1,Bhubaneswar
"Jawaharlal Nehru Institute of Medical Sciences, Imphal",5.0,22 Courses,₹2.1 L,5.0,Imphal
Woodland Institute of Nursing,NULL,3 Courses,– / –,– / –,Shillong
"Fakir Mohan Medical College and Hospital, Balasore",NULL,1 Course,₹2.4 L,– / –,Balasore
Himalayan Pharmacy Institute,3.8,8 Courses,₹1.5 L - 4 L,₹2.65 - 3.6 LPA,Rangpo
Vidyavardhini's Bhausaheb Vartak Polytechnic College,3.2,6 Courses,₹18 K,3.4,Thane
Techno India,NULL,6 Courses,– / –,– / –,Kolkata
HEC Group of Institutions,3.2,27 Courses,₹31 K - 1.4 L,3.1,Haridwar
Barak Valley Engineering College,3.7,4 Courses,₹55.6 K,4.0,Assam - Other
NCRD’s Sterling Institute of Management Studies,3.5,2 Courses,₹1.8 L - 2.3 L,3.2,Mumbai
KMCT College of Pharmaceutical Sciences,4.4,1 Course,₹5.1 L,3.0,Kozhikode
Shridhar University (SU),3.7,223 Courses,₹5 K - 5.8 L,2.9,Pilani
Brahm Shakti School of Nursing,NULL,2 Courses,– / –,– / –,Delhi
Institute of Apparel Management,NULL,8 Courses,₹1.9 L - 5.1 L,– / –,Gurgaon
AVC College of Engineering,3.8,19 Courses,₹35 K - 2 L,₹1.68 - 2.4 LPA,Tamil Nadu - Other
Nova Institute of Nursing and Paramedical Sciences,NULL,6 Courses,₹1.4 L,– / –,Lucknow
Delhi College,NULL,2 Courses,₹3.8 L,– / –,Madhya Pradesh - Other
"College of Engineering, Munnar",3.6,12 Courses,₹48 K - 1.4 L,3.3,Munnar
Villa Marie College for women,3.9,3 Courses,₹1.1 L,3.6,Hyderabad
Chembur Sarvankash Shikshan shastra Mahavidyalya,NULL,1 Course,₹26.5 K,– / –,Mumbai
Joginpalli B.R.Engineering College,3.6,14 Courses,₹80 K - 3.5 L,3.1,Hyderabad
Karnataka State Law University,4.2,9 Courses,₹23.7 K - 68.2 K,₹4.5 LPA,Hubli
"Guru Gobind Singh College of Pharmacy, Guru Nanak Khalsa Group of Educational Institutions",NULL,8 Courses,₹15 K - 25 L,– / –,Yamuna Nagar
Rishikul Government PG Ayurvedic College and Hospital,NULL,3 Courses,₹3.2 L - 3.3 L,– / –,Haridwar
"School of Design, Sushant University",3.9,14 Courses,₹3.2 L - 10.9 L,₹3.23 - 5 LPA,Gurgaon
"Dev Bhoomi School of Architecture and Design, Dev Bhoomi Uttarakhand University",NULL,8 Courses,₹2 L - 6.3 L,– / –,Dehradun
"Shri Rawatpura Sarkar Group of Institution, Jabalpur",3.8,3 Courses,₹72 K - 2 L,3.0,Jabalpur
"G H Raisoni Institute of Management and Research, Khaparheda Nagpur",4.4,1 Course,₹1.7 L,4.3,Nagpur
K.M.C.H. College of Nursing,NULL,15 Courses,– / –,– / –,Coimbatore
Sharnbasva University,3.7,45 Courses,₹12 K - 4.5 L,₹1.8 - 3.5 LPA,Gulbarga
"Government College, Bhawanipatna",3.9,26 Courses,₹90 K,3.0,kalahandi
Shri Varshney College,4.0,41 Courses,– / –,3.4,Aligarh
JECRC University powered by Sunstone,NULL,19 Courses,₹3 L - 4 L,– / –,Jaipur
Saaii College of Medical Science & Technology,4.0,16 Courses,₹83 K - 3 L,1.7,Kanpur
RLV College of Music and Fine Arts,NULL,21 Courses,– / –,– / –,Ernakulum
Bangalore Baptist College of Nursing,NULL,3 Courses,₹2.3 L,– / –,Bangalore
"School of Design, CMR University",NULL,4 Courses,₹10 L,₹4.2 LPA,Bangalore
"College of Forestry, Navsari Agricultural University",NULL,8 Courses,₹15 K - 20 K,₹4 LPA,Navsari
Doon P.G. Paramedical College and Hospital,NULL,11 Courses,₹1.5 L - 3.1 L,– / –,Dehradun
Dr. Sivanthi Aditanar College of Engineering,4.2,19 Courses,₹35 K - 2 L,4.0,Tamil Nadu - Other
St. Aloysius College,3.9,26 Courses,₹3.1 K - 90 K,3.3,Thrissur
DM Harish School of Law,NULL,3 Courses,₹3.4 L - 5.9 L,– / –,Mumbai
Rajiv Gandhi Government Engineering College,3.4,5 Courses,₹1.2 L - 2.3 L,₹2.5 LPA,Kangra
"Centre for Continuing Education, UPES",NULL,27 Courses,₹25 K - 1.8 L,₹3.57 - 5.5 LPA,Dehradun
Karpagam College of Pharmacy,4.1,4 Courses,₹1.4 L - 18.2 L,₹1.4 - 2.8 LPA,Coimbatore
Camellia Institute of Technology,3.0,10 Courses,₹54 K - 2.3 L,2.3,Kolkata
Saintgits College of Applied Science,4.5,8 Courses,– / –,4.5,Kottayam
Rajarshi Shahu Mahavidyalaya,4.0,22 Courses,– / –,4.0,Latur
"SNS College of Pharmacy and Health Sciences, SNS Group of Institutions",4.7,2 Courses,– / –,4.7,Coimbatore
Sir C.R.Reddy College of Pharmaceutical Sciences,4.0,5 Courses,₹1.1 L - 2.1 L,₹2.4 - 2.76 LPA,Eluru
Aptech Aviation Academy,2.2,12 Courses,₹10.4 K - 1.7 L,1.0,Mumbai
Navgujarat Commerce College,NULL,3 Courses,– / –,– / –,Gandhinagar
Dr. B.R. Ambedkar State Institute of Medical Sciences,NULL,1 Course,– / –,– / –,Sahibzada Ajit Singh Nagar
Central Electrochemical Research Institute,NULL,1 Course,₹2 L,– / –,Karaikudi
Uttam Group of Institutions,4.0,6 Courses,₹1.3 L - 2.2 L,3.8,Agra
"School of Design and Visual Arts, Apeejay Stya University",3.0,10 Courses,₹5.2 L - 10.4 L,2.4,Gurgaon
"Government Degree College, Kukatpally",3.6,13 Courses,– / –,3.3,Hyderabad
Paavai College of Pharmacy and Research,4.9,3 Courses,– / –,5.0,Namakkal
Raja Mahendra Pratap Post Graduate College,NULL,7 Courses,– / –,– / –,Roorkee
CT Group of Institutions (North Campus),4.3,13 Courses,₹69 K - 3.3 L,₹5 - 6.5 LPA,Jalandhar
Dr. Panjabrao Deshmukh College of Law,3.2,3 Courses,₹18.3 K - 49.3 K,1.0,Amravati
J.S. Ayurveda Mahavidyalaya,NULL,2 Courses,₹13.1 L - 14.4 L,– / –,Nadiad
"Symbiosis Centre for Management Studies, Symbiosis International, Bangalore Campus",NULL,1 Course,₹14 L,– / –,Bangalore
Rohini College of Engineering and Technology,4.1,17 Courses,₹35 K - 2 L,₹3 LPA,Kanyakumari
"Government College of Education,Panvel",NULL,2 Courses,₹27.8 K - 42 K,– / –,Raigad
HRIT Group of Institutions,3.5,46 Courses,₹30 K - 4.3 L,3.1,Ghaziabad
"Ayurved Mahavidyalaya, Pusad",NULL,1 Course,₹6.8 L,– / –,Yavatmal
"Government Nursing College, Jamnagar",NULL,3 Courses,₹580,– / –,Jamnagar
"BSE Institute Limited, Chennai",NULL,77 Courses,₹3.5 K - 27.9 L,– / –,Chennai
Rahman Hospitals College of Nursing,NULL,3 Courses,– / –,– / –,Guwahati
Global Centre for Entrepreneurship and Commerce,4.4,12 Courses,₹1.8 L - 3 L,4.4,Jaipur
Jawaharlal Nehru Government Engineering College,NULL,2 Courses,₹1.2 L,– / –,Sundernagar
Providence College of Engineering - PCE,3.9,13 Courses,₹1.5 L - 2 L,4.0,Kerala - Other
SAL Institute of Diploma Studies,NULL,2 Courses,₹1.3 L,– / –,Ahmedabad
"Central Institute of Plastics Engineering and Technology, Chennai",4.0,10 Courses,₹50 K - 2 L,4.1,Chennai
"Sri Pratap College, Cluster University , Srinagar",3.4,31 Courses,₹15.2 K,2.5,Srinagar
Thakur Ramnarayan College of Arts and Commerce,4.2,7 Courses,₹73.5 K - 1.3 L,4.3,Mumbai
Neeldeep College of Commerce,5.0,2 Courses,– / –,5.0,Ahmedabad
Ahmedabad Dental College and Hospital,3.8,9 Courses,₹6 L - 26.7 L,3.8,Gandhinagar
Channabasweshwar Pharmacy College,4.7,7 Courses,₹12 K - 3.5 L,₹2.4 LPA,Latur
"Indukaka Ipcowala Institute of Management, Charotar University of Science and Technology",4.0,3 Courses,₹1.2 L - 2.6 L,₹1.5 - 4 LPA,Anand
ATTC - Advanced Technical Training Centre,4.0,12 Courses,₹85.1 K - 1.3 L,3.8,Sikkim - Other
Gujarat University of Transplantation Sciences,NULL,3 Courses,₹20 K - 1.5 L,– / –,Ahmedabad
Bombay Hospital and Medical Research Centre,NULL,15 Courses,₹3.8 L - 31.5 L,– / –,Mumbai
City College of Commerce and Business Administration,3.5,2 Courses,₹4.4 K - 7.5 K,3.0,Kolkata
"Late Shri Lakhi Ram Agrawal Memorial Government Medical College, Raigarh",4.8,8 Courses,₹2.2 L - 2.3 L,5.0,Raigarh
Raiganj Government Medical College and Hospital,4.7,1 Course,₹30.3 K,4.7,West Bengal - Other
K.T. Patil College of Pharmacy,NULL,4 Courses,₹2.5 L - 5.4 L,– / –,Osmanabad
Jawaharlal College of Engineering and Technology,3.3,9 Courses,₹60 K - 4 L,₹2.6 - 2.8 LPA,Palakkad
"Guru Nanak Dev University College, Pathankot, GNDU",3.3,28 Courses,₹6.5 K - 84 K,₹4.25 - 6.35 LPA,Pathankot
Maharishi Mahesh Yogi Vedic Vishwavidyalaya,3.2,20 Courses,– / –,2.0,Katni
Welfare Institute of Nursing and Midwifery,NULL,4 Courses,₹50 K - 2.6 L,– / –,Bharuch
Shri Govind Guru University,NULL,6 Courses,– / –,– / –,Godhra
St. Joseph's College for Women,4.4,21 Courses,₹25.9 K - 89.4 K,₹1.7 - 2.04 LPA,Visakhapatnam
"Government College of Nursing , Alwar",3.8,1 Course,– / –,4.0,Alwar
"Government College of Nursing, Rajasthan",4.0,1 Course,– / –,3.5,Churu
Mar Athanasios College For Advanced Studies - MACFAST,4.3,9 Courses,₹1.5 L - 3.4 L,₹3.2 LPA,Pathanamthitta
GCS College of Nursing,NULL,2 Courses,₹3.9 L,– / –,Ahmedabad
Aligarh College of Nursing and Hospital,NULL,4 Courses,₹1 L - 2.1 L,– / –,Aligarh
Bangalore Film Academy,NULL,5 Courses,– / –,– / –,Bangalore
"Government Medical College, Faizabad",NULL,1 Course,₹1.6 L,– / –,Faizabad
CSI College of Dental Sciences and Research,2.8,7 Courses,₹10.5 L - 12.5 L,3.0,Madurai
"Government Polytechnic College, Kanpur",3.8,18 Courses,₹10.4 K - 35.6 K,3.6,Kanpur
"College of Horticulture, Thrissur - Kerala Agriculture University",3.2,25 Courses,– / –,3.0,Thrissur
Ramachandra College of Engineering,4.2,15 Courses,₹54 K - 1.8 L,₹2.8 - 4.5 LPA,West Godavari
Jawed Habib Hair and Beauty Academy,NULL,10 Courses,₹25 K - 79 K,– / –,Pune
"Delhi Degree College, Badarpur",NULL,28 Courses,₹6 K - 45 K,– / –,Delhi
"Mar Baselios Institute of Technology And Science, Kothamangalam",4.1,9 Courses,₹1.3 L - 2 L,₹2.5 LPA,Ernakulum
"Dr. Ziauddin Ahmad Dental College, Aligarh Muslim University",3.8,8 Courses,₹16 L,₹7 - 12 LPA,Aligarh
"Ayurvedic Medical College, Peth Vadgaon",NULL,1 Course,₹10.6 L,– / –,Maharashtra - Other
Presidency College,NULL,6 Courses,₹40 K - 78 K,– / –,Raisen
"Indian Institute of Materials Management, (IIMM, Bangalore)",NULL,22 Courses,₹12 K - 45 K,– / –,Bangalore
"GEMS B School, Mysore",NULL,17 Courses,₹2 L - 11.3 L,– / –,Mysore
Dr. Somervell Memorial CSI Medical College and Hospital,4.0,17 Courses,₹30.5 L - 49.1 L,4.2,Thiruvananthapuram
"Fortune School of Business, Kukatpally",4.4,5 Courses,₹2.1 L - 3.8 L,4.0,Hyderabad
Sree Venkateswara College Of Engineering,3.9,11 Courses,₹72 K - 1.4 L,3.8,Nellore
Murugappa Polytechnic College,4.4,10 Courses,– / –,4.1,Chennai
Amar Jyoti Institute of Physiotherapy,3.3,3 Courses,₹2.9 L - 9.4 L,2.5,Delhi
Lukhdhirji Engineering College,3.8,16 Courses,₹3 K - 6 K,2.9,Rajkot
Anil Neerukonda Institute of Dental Sciences,4.0,9 Courses,₹46.3 K - 8.9 L,3.7,Visakhapatnam
"Skybird Aviation, Bengaluru",4.5,20 Courses,₹51.7 K - 45 L,₹3.96 - 9.96 LPA,Bangalore
"College of Engineering, Kallooppara",3.8,7 Courses,₹1 L - 1.4 L,3.6,Pathanamthitta
Owaisi College of Nursing,NULL,6 Courses,– / –,– / –,Hyderabad
Anjalai Ammal Mahalingam Engineering College,3.8,12 Courses,₹35 K - 2 L,3.0,Tiruchirappalli
Bansal College of Pharmacy,4.1,3 Courses,₹1.6 L,4.3,Bhopal
Dev Bhoomi Medical College of Ayurveda and Hospital,3.4,1 Course,₹13.7 L,1.0,Dehradun
Jayawantrao Sawant Polytechnic,4.2,6 Courses,₹1.9 L - 2 L,3.5,Pune
Moodlakatte Institute of Technology - MIT KUNDAPURA,3.7,9 Courses,₹1.2 L - 6 L,3.7,Udupi
Siddhi's Institute of Pharmacy,3.0,2 Courses,₹12 K,3.0,Thane
"ITM College of Pharmacy, Maharajganj",NULL,2 Courses,₹90 K - 2.5 L,– / –,Uttar Pradesh - Other
IHM Ranchi - Institute of Hotel Management Catering Technology & Applied Nutrition,4.6,13 Courses,₹15.8 K - 2.5 L,5.0,Ranchi
"NIMS School of Journalism & Mass Communication, NIMS University",NULL,10 Courses,₹35 K - 2.8 L,– / –,Noida
Gokhale Memorial Girls' College,3.5,18 Courses,– / –,2.7,Kolkata
"Government Homoeopathic Medical College, Dethali",4.0,1 Course,₹18 K,3.6,Patan
"College of Nursing, Medical Trust Hospital",NULL,6 Courses,– / –,– / –,Ernakulum
Sree Mookambika Institutions,NULL,36 Courses,₹19.5 L,– / –,Kanyakumari
"Sir Siddappa Kambali Law College, Karnatak University Dharwad",4.4,2 Courses,– / –,₹2.4 LPA,Dharwad
Maa Kalawati Institute of Health Education and Research Centre,NULL,3 Courses,– / –,– / –,Ranchi
"Government Rajindra College, Bathinda",4.3,15 Courses,₹20.8 K - 65.2 K,4.1,Bathinda
Rajasthan College of Engineering for Women (RCEW),4.4,11 Courses,₹1.1 L - 2.7 L,4.6,Jaipur
Bhabha University,3.2,50 Courses,₹1 L - 2.5 L,1.0,Bhopal
Parul University Online,NULL,1 Course,₹80 K,– / –,Vadodara
Bihar Veterinary College,NULL,3 Courses,₹12 K - 22.5 K,– / –,Patna
RITEE Group of Institutes,3.7,18 Courses,₹1.2 L - 4.5 L,₹3.6 - 6 LPA,Raipur
Jupitar Ayurved Medical College,NULL,1 Course,₹4 L,– / –,Nagpur
"Institute of Management, Bharati Vidyapeeth",4.1,2 Courses,₹1.6 L - 1.7 L,₹6.45 LPA,Kolhapur
"State Institute of Hotel Management, Siddhpur",4.4,1 Course,₹2.6 L,4.1,Patan
Gurukul College of Commerce,4.0,6 Courses,₹29.9 K - 86.1 K,3.3,Mumbai
Dr.D.Y. Patil College of Architecture,4.0,2 Courses,₹4.2 L,₹3 LPA,Navi Mumbai
The Indira Gandhi Technological and Medical Sciences University,NULL,69 Courses,₹12.5 K - 4.6 L,– / –,Arunachal Pradesh - Other
"School of Business, Sushant University",3.8,20 Courses,₹2.1 L - 8.3 L,₹3.2 - 5 LPA,Gurgaon
Netaji Subhas Chandra Bose Institute of Pharmacy,4.2,4 Courses,₹2.5 L - 3.5 L,₹2.52 - 3.12 LPA,Kolkata
"College of Fishery Science, Muthukur - Sri Venkateswara Veterinary University",NULL,2 Courses,₹19.8 K - 34 K,– / –,Nellore
Chembur Karnataka College of Law,4.6,2 Courses,₹1.1 L,5.0,Mumbai
Himalayan Institute of Technology,3.9,20 Courses,– / –,3.6,Dehradun
K.M.M. College of Arts and Science,3.6,18 Courses,– / –,3.0,Kochi
Faculty of Computer Applications and Information Technology,4.0,6 Courses,₹50 K - 3.4 L,4.0,Ahmedabad
"Sinhgad Institutes, Pune - Sinhgad Management Institutes (MCA)",3.6,1 Course,– / –,3.4,Pune
"Faculty of Education, Dayalbagh Educational Institute",4.3,3 Courses,₹14.3 K,₹3.5 LPA,Agra
Purnea College of Engineering,3.9,5 Courses,₹64 K,3.1,Purnia
Sri Balaji College of Engineering and Technology,3.4,10 Courses,₹1.6 L - 2 L,2.7,Jaipur
Miles Education,NULL,8 Courses,₹23.6 K - 2.4 L,– / –,Delhi
"National Institute of Electronics & Information Technology, Agartala",3.8,76 Courses,₹3.5 K - 1.1 L,2.5,Agartala
CSMSS Ayurved Mahavidayalya and Ruganalaya,4.4,3 Courses,₹7.9 L,4.3,Aurangabad
"Government Ayurvedic College and Hospital, Patiala",4.1,2 Courses,₹3.7 L - 4.5 L,4.0,Patiala
"IIMT Studies- International Institute of Management and Technical Studies, Surat",NULL,77 Courses,₹70.7 K - 90.7 K,– / –,Surat
"Government Engineering College, Mananthavady",3.5,12 Courses,₹26.5 K - 34.6 K,2.7,Wayanad
Pratap College of Management,NULL,2 Courses,₹1.3 L - 1.4 L,– / –,Uttar Pradesh - Other
Sree Vidyanikethan College of Pharmacy,4.0,7 Courses,₹1.1 L - 2.1 L,₹2.4 - 2.8 LPA,Tirupati
Nootan Medical College and Research Centre,4.6,1 Course,₹35.3 L,4.0,Visnagar
Basic Science and Humanities College,4.4,8 Courses,– / –,3.0,Bhubaneswar
"VKS College of Agriculture,Bihar Agricultural University",NULL,1 Course,₹30.9 K,₹3.72 LPA,Buxar
"College of Nursing, Gokuldas Tejpal Hospital",NULL,1 Course,– / –,– / –,Mumbai
Sree Siddaganga College of Pharmacy,4.8,8 Courses,₹1.1 L - 4 L,4.0,Tumkur
Nowgong College,3.6,33 Courses,– / –,₹3 - 3.6 LPA,Nagaon
P.K. University,4.0,66 Courses,₹15 K - 22.5 L,3.0,Madhya Pradesh - Other
Jaslok College of Nursing,NULL,5 Courses,₹2.3 L - 2.6 L,– / –,Mumbai
Imarticus Learning,4.3,28 Courses,₹35 K - 10 L,₹3 LPA,Mumbai
Ajeenkya DY Patil University-School of Law,4.4,3 Courses,₹1.1 L - 5.5 L,3.8,Pune
Sikkim Government College of Nursing,NULL,1 Course,– / –,– / –,Gangtok
IIM Indore - Indian Institute of Management - Mumbai Campus,NULL,2 Courses,₹90 K - 17.6 L,– / –,Navi Mumbai
Shri and Smt P K Kotawala Arts College,3.8,8 Courses,– / –,3.0,Patan
"Centre for Distance and Virtual Learning, University of Hyderabad",4.8,23 Courses,₹9 K - 60 K,4.7,Hyderabad
Dr. Ram Manohar Lohia College of Pharmacy,NULL,2 Courses,₹2.5 L,– / –,Modinagar
"JNTUA - Jawaharlal Nehru Technological University, Anantapur",4.6,4 Courses,₹54 K - 77.5 K,₹5 LPA,Anantapur
Upgrad- Manav Rachana,NULL,13 Courses,₹1 L - 1.9 L,– / –,Delhi
Angadi Institute of Technology and Management,3.7,14 Courses,₹12.8 K - 3.6 L,₹2.9 - 3.6 LPA,Belgaum
OM Group of Institutions,3.0,32 Courses,₹37.4 K - 2.6 L,2.0,Hisar
Sharda School of Pharmacy,3.3,4 Courses,₹74.8 K - 2.8 L,2.7,Gandhinagar
Shree Sainath College of Pharmacy,NULL,1 Course,₹2.8 L,– / –,Nagpur
Bankura Unnayani Instititute of Engineering,3.3,10 Courses,₹2 L - 3.3 L,₹1.7 LPA,West Bengal - Other
"J.M.Patel Arts,Commerce and Science College",3.6,36 Courses,₹95.4 K,1.6,Bhandara
"INIFD - Inter National Institute of Fashion Designing, Lindsay Street",4.0,12 Courses,₹1.2 L - 6 L,₹1.45 - 3 LPA,Kolkata
Oriental College of Law,2.8,2 Courses,₹75 K - 1.1 L,2.0,Navi Mumbai
Dr. Hedgewar College of Nursing,NULL,1 Course,₹2.6 L,– / –,Aurangabad
Central India College of Law and LL.M. (CICL Nagpur),3.6,9 Courses,₹35.3 K - 72.5 K,3.0,Nagpur
National Institute of Homoeopathy,4.6,7 Courses,₹1.1 L - 1.5 L,5.0,Kolkata
Hi-Tech College of Nursing,4.4,7 Courses,– / –,4.5,Bhubaneswar
MVP Samaj's Institute of Management & Research Technology (IMRT),NULL,3 Courses,₹54.2 K - 2 L,– / –,Nashik
Metas Adventist College,3.3,3 Courses,₹1.9 L,3.3,Surat
Institute Of Advance Education And Research,NULL,26 Courses,₹95 K - 4 L,– / –,Kolkata
Father Muller Homoeopathic Medical College,4.7,2 Courses,₹2.7 L - 3 L,4.5,Mangalore
"Aryakul College of Pharmacy and Research, Raebareli",4.3,3 Courses,₹1 L - 3.6 L,3.7,Raebareli
"Asharam School and College of Nursing, Kamptee",NULL,3 Courses,₹3.1 L,– / –,Nagpur
Shri Shivaji Maratha Society’s Institute of Management & Research,3.4,1 Course,₹54.1 K,2.5,Pune
Elite  IIT,NULL,3 Courses,– / –,– / –,Bangalore
"Government Polytechnic College, Changipur",NULL,3 Courses,₹35.6 K,– / –,Uttar Pradesh - Other
"Sardar Patel University of Police, Security and Criminal Justice",3.8,9 Courses,₹59.8 K - 1.2 L,₹1.8 LPA,Jodhpur
IIBM Institute of Business Management,NULL,27 Courses,₹12 K - 68 K,– / –,Delhi
The National Degree College,4.1,31 Courses,– / –,4.1,Bangalore
Vaagdevi Degree and PG College,4.2,19 Courses,₹43 K - 91 K,4.0,Warangal
"School of Music and Fine Arts, VELS Institute of Science, Technology and Advanced Studies",4.0,15 Courses,₹5 K - 90 K,₹3.85 - 4.45 LPA,Chennai
Barasat Government College,3.8,13 Courses,₹4.9 K - 6.3 K,3.0,Kolkata
Sreenarayanaguru Open University,NULL,7 Courses,₹13.6 K - 16.6 K,– / –,Kollam
Mysuru Royal Institute of Technology,3.0,4 Courses,₹3.6 L,2.5,Mysore
Vydehi Institute of Pharmacy,4.4,2 Courses,₹1.1 L,4.5,Bangalore
Fr. Muller's College of Nursing,NULL,8 Courses,₹99.5 K - 2.3 L,– / –,Mangalore
Purnea University,3.6,6 Courses,– / –,3.5,Purnia
"School of Economics and Commerce, CMR University",3.6,6 Courses,₹1.5 L - 3.8 L,₹3.2 - 3.3 LPA,Bangalore
"College of Engineering, Kidangoor",3.7,10 Courses,₹48 K - 1.4 L,₹3.4 - 3.5 LPA,Kottayam
Sascma English Medium Commerce  College,4.5,1 Course,– / –,4.5,Surat
Gandhi College of Nursing,NULL,3 Courses,₹1.3 L,– / –,Karnal
Spicer Adventist University,4.3,35 Courses,₹96 K - 3.8 L,3.5,Pune
Sri Krishna College of Engineering,NULL,6 Courses,₹2 L,– / –,Vellore
Sinhgad College of Arts and Commerce,3.2,4 Courses,– / –,2.5,Pune
Shri Pandit Baburao Chaughule College of Pharmacy,NULL,1 Course,– / –,– / –,Thane
"School of Physiotherapy, VELS Institute of Science, Technology and Advanced Studies",NULL,6 Courses,₹1.3 L - 3.2 L,₹3.45 - 4.45 LPA,Chennai
Keshlata School of Nursing,NULL,4 Courses,– / –,– / –,Bareilly
Institute for Excellence in Higher Education,3.6,15 Courses,– / –,₹3.3 - 8 LPA,Bhopal
Dhanarua School of Nursing,NULL,9 Courses,– / –,– / –,Patna
St. Soldier Group of Institutions,4.0,42 Courses,₹23 K - 2.4 L,3.4,Jalandhar
MEA Engineering College (MEA Kerala),3.6,15 Courses,₹1.2 L - 2 L,3.1,Kerala - Other
Mahatma Jyotiba Fule College of Veterinary and Animal Sciences,4.0,1 Course,₹25 L,4.0,Jaipur
Triguna Sen School of Technology,2.2,3 Courses,₹9.6 K - 1.7 L,1.3,Silchar
Shivajirao S Jondhle Institute of Law and Research,NULL,2 Courses,₹77.7 K - 95 K,– / –,Maharashtra - Other
G.V.M.Girls College,4.0,21 Courses,₹34.4 K - 92.8 K,₹2.16 LPA,Sonepat
St. Pauls College of Pharmacy,4.5,5 Courses,₹2 L - 4.7 L,₹3.5 - 4.4 LPA,Hyderabad
Guru Nanak Dev DSEU - Rohini Campus,3.8,7 Courses,₹51.8 K,3.3,Delhi
"MIT School of Distance Education, Chennai",NULL,17 Courses,₹17 K - 38 K,– / –,Chennai
Srinath College of Pharmacy,2.8,2 Courses,₹12 K - 3.3 L,1.0,Aurangabad
DNR College of Engineering and Technology,3.7,21 Courses,₹70 K - 1.4 L,₹3.6 - 4 LPA,Bhimavaram
Bhausaheb Mulak Ayurved Mahavidyalaya and Hospital,3.4,1 Course,₹8 L,1.0,Nagpur
State Takmeel-Ut-Tib College and Hospital,NULL,3 Courses,₹54 K - 67.5 K,– / –,Lucknow
Himgiri Zee University,3.9,59 Courses,₹27 K - 4.8 L,₹2.24 LPA,Dehradun
Bhakta Kavi Narsinh Mehta University,4.4,14 Courses,₹3 K - 85 K,4.0,Junagadh
Banarsidas Chandiwala Institute of Physiotherapy,3.9,1 Course,₹4.2 L,4.0,Delhi
"Government College of Art and Design, Laxminagar",NULL,6 Courses,– / –,– / –,Nagpur
Mahatma Gandhi Mission's College of Engineering and Technology,3.3,7 Courses,₹2.2 L - 2.4 L,3.1,Greater Noida
ABBS School of Law,3.3,1 Course,₹5 L,3.0,Bangalore
"Government Ayurveda College,Thiruvananthapuram",3.8,22 Courses,₹49.6 K - 68.4 K,3.0,Thiruvananthapuram
"Bhagini Nivedita College, University of Delhi",3.1,37 Courses,₹16.7 K - 21.2 K,₹4 - 5 LPA,Delhi
PCPS - Periyar College of Pharmaceutical Sciences,3.8,10 Courses,– / –,1.7,Tiruchirappalli
Dr. Ambedkar College of Law,NULL,4 Courses,₹50 K - 1.3 L,– / –,Hyderabad
Maharaja Ranjit Singh Punjab Technical University,3.7,22 Courses,₹73.7 K - 2.4 L,₹3.2 - 3.7 LPA,Bathinda
GKM College of Engineering and Technology (GKMCET),3.1,22 Courses,₹35 K - 2 L,₹3 LPA,Chennai
DMI College of Engineering,2.9,18 Courses,₹35 K - 2 L,2.6,Chennai
Arni University,5.0,104 Courses,₹52.5 K - 4.4 L,5.0,Himachal Pradesh - Other
"School of Mass Communication, VELS Institute of Science, Technology and Advanced Studies",4.3,18 Courses,₹45 K - 4.5 L,₹3.5 - 4.45 LPA,Chennai
"School of Nursing, Ruby General Hospital College",NULL,2 Courses,– / –,– / –,Kolkata
Bharata Matha College,3.2,3 Courses,– / –,₹2.2 LPA,Kochi
HLM Group of Institutions,3.6,19 Courses,₹36 K - 1.5 L,3.1,Ghaziabad
Narayana Pharmacy College,4.3,5 Courses,₹1.4 L - 3.8 L,4.0,Nellore
Alva's College of Nursing,NULL,8 Courses,– / –,– / –,Mangalore
"M.E.S Arts and Science College, Perinthalmanna",2.8,7 Courses,₹54 K - 1.2 L,1.0,Malappuram
M.I.E.T. Engineering College,3.9,15 Courses,₹35 K - 2 L,₹0.62 LPA,Tiruchirappalli
"College of Engineering, Cherthala",4.1,8 Courses,₹1 L - 1.4 L,₹3.5 LPA,Kerala - Other
Suryadatta College of Hospitality Management and Travel Tourism,4.1,11 Courses,₹4.5 L,₹3.6 LPA,Pune
Post Graduate Government College,3.8,4 Courses,₹42.4 K - 97.3 K,₹1.8 LPA,Chandigarh
Rani Anna Government College For Women,5.0,35 Courses,₹1 K - 3.7 K,₹1.2 - 1.5 LPA,Tirunelveli
Acharya Prafulla Chandra Roy  Government College,3.8,16 Courses,₹7.3 K - 8.7 K,2.6,Siliguri
"Government Engineering College,Jamui",4.1,5 Courses,– / –,3.2,Jamui
"Lokmanya Tilak Institute of Pharmaceutical Sciences, Pune",NULL,1 Course,– / –,– / –,Pune
The Hindu College,NULL,27 Courses,₹13.3 K - 90 K,– / –,Guntur
MES Kalladi College,4.3,24 Courses,₹3.1 K - 1.1 L,₹0.85 - 1.8 LPA,Palakkad
Seth N.K.T.T College of Commerce and Sheth J.T.T. College of Arts,4.0,2 Courses,– / –,4.0,Thane
